ts,lat,lng,engineload,coolant,engineoiltemp,vehiclespeed,rpm,obddistance,runtime,engine_torque_percent,selected_gear,current_gear,fuel_consumption,fuel_level,fuel_economy,accelerator_pedal_pos,engine_throttle_valve1_pos,enginefueltemp,brake_switch_status,clutch_switch_status,parking_switch_status
1709340731,19.06934,78.355148,28,33,1774.9688,0.0,749.0,60780800,1970.85,21,130,0,17935.5,23.6,0.0,0.0,100.0,215,Released,Released,Pressed
1709340794,19.069347,78.355141,22,41,1774.9688,0.0,1208.375,60780800,1970.85,18,130,0,17935.5,23.6,0.0,23.6,99.6,215,Released,Pressed,Pressed
1709340857,19.069414,78.355179,25,48,1774.9688,1.40625,752.625,60780800,1970.85,18,130,129,17936.0,22.8,0.33789062,0.0,99.6,215,Pressed,Pressed,Released
1709340920,19.069258,78.355225,35,52,1774.9688,2.8125,996.375,60780820,1970.9,27,130,129,17936.0,20.4,0.12109375,33.6,99.6,215,Released,Pressed,Released
1709340983,19.069094,78.355339,0,57,1774.9688,4.53125,1065.75,60780840,1970.9,1,130,3,17936.0,23.2,125.5,3.2,100.0,215,Released,Pressed,Released
1709341725,19.069117,78.356079,22,58,1774.9688,0.09375,750.75,60780920,1970.95,20,130,129,17936.0,22.0,0.38671875,0.0,99.6,215,Released,Pressed,Released
1709344633,19.069157,78.356049,0,53,1774.9688,0.0,0.0,60780920,1970.95,0,130,0,17936.0,23.2,125.5,0.0,100.0,215,Released,Released,Pressed
1709344696,19.069153,78.356049,0,53,1774.9688,0.0,0.0,60780920,1970.95,0,130,0,17936.0,23.2,125.5,0.0,100.0,215,Released,Pressed,Pressed
1709344759,19.069094,78.356041,0,53,1774.9688,0.0,0.0,60780920,1970.95,0,130,0,17936.0,23.2,125.5,0.0,100.0,215,Released,Released,Pressed
1709344822,19.069141,78.355995,0,52,1774.9688,0.0,0.0,60780920,1970.95,0,130,0,17936.0,23.2,125.5,0.0,100.0,215,Released,Released,Pressed
1709344885,19.069143,78.355995,0,52,1774.9688,0.0,0.0,60780920,1970.95,0,130,0,17936.0,23.2,125.5,0.0,100.0,215,Released,Released,Pressed
1709344948,19.06912,78.35598,0,52,1774.9688,0.0,0.0,60780920,1970.95,0,130,0,17936.0,23.2,125.5,0.0,100.0,215,Released,Released,Pressed
1709345011,19.069124,78.35598,0,52,1774.9688,0.0,0.0,60780920,1970.95,0,130,0,17936.0,23.2,125.5,0.0,100.0,215,Released,Released,Pressed
1709345075,19.069126,78.355988,0,52,1774.9688,0.0,0.0,60780920,1970.95,0,130,0,17936.0,23.2,125.5,0.0,100.0,215,Released,Released,Pressed
1709345137,19.069122,78.355995,0,51,1774.9688,0.0,0.0,60780920,1970.95,0,130,0,17936.0,23.2,125.5,0.0,100.0,215,Released,Released,Pressed
1709345200,19.069111,78.356018,0,51,1774.9688,0.0,0.0,60780920,1970.95,0,130,0,17936.0,23.2,125.5,0.0,100.0,215,Released,Released,Pressed
1709345263,19.069113,78.356018,0,51,1774.9688,0.0,0.0,60780920,1970.95,0,130,0,17936.0,23.2,125.5,0.0,100.0,215,Released,Released,Pressed
1709345326,19.069105,78.356018,0,51,1774.9688,0.0,0.0,60780920,1970.95,0,130,0,17936.0,23.2,125.5,0.0,100.0,215,Released,Released,Pressed
1709345389,19.069107,78.356026,0,51,1774.9688,0.0,0.0,60780920,1970.95,0,130,0,17936.0,23.2,125.5,0.0,100.0,215,Released,Released,Pressed
1709345452,19.069113,78.356026,0,51,1774.9688,0.0,0.0,60780920,1970.95,0,130,0,17936.0,23.2,125.5,0.0,100.0,215,Released,Released,Pressed
1709345515,19.069113,78.356026,0,50,1774.9688,0.0,0.0,60780920,1970.95,0,130,0,17936.0,23.2,125.5,0.0,100.0,215,Released,Released,Pressed
1709345578,19.069122,78.356026,0,50,1774.9688,0.0,0.0,60780920,1970.95,0,130,0,17936.0,23.2,125.5,0.0,100.0,215,Released,Released,Pressed
1709345641,19.069117,78.356033,0,50,1774.9688,0.0,0.0,60780920,1970.95,0,130,0,17936.0,23.2,125.5,0.0,100.0,215,Released,Released,Pressed
1709345704,19.069115,78.356026,0,50,1774.9688,0.0,0.0,60780920,1970.95,0,130,0,17936.0,23.2,125.5,0.0,100.0,215,Released,Released,Pressed
1709345767,19.069126,78.356033,0,50,1774.9688,0.0,0.0,60780920,1970.95,0,130,0,17936.0,23.2,125.5,0.0,100.0,215,Released,Released,Pressed
1709345831,19.069145,78.35601,0,50,1774.9688,0.0,0.0,60780920,1970.95,0,130,0,17936.0,23.2,125.5,0.0,100.0,215,Released,Released,Pressed
1709345894,19.069134,78.35601,0,49,1774.9688,0.0,0.0,60780920,1970.95,0,130,0,17936.0,23.2,125.5,0.0,100.0,215,Released,Released,Pressed
1709345957,19.069136,78.356003,0,49,1774.9688,0.0,0.0,60780920,1970.95,0,130,0,17936.0,23.2,125.5,0.0,100.0,215,Released,Released,Pressed
1709346020,19.069126,78.355995,0,49,1774.9688,0.0,0.0,60780920,1970.95,0,130,0,17936.0,23.2,125.5,0.0,100.0,215,Released,Released,Pressed
1709346083,19.069126,78.355988,0,49,1774.9688,0.0,0.0,60780920,1970.95,0,130,0,17936.0,23.2,125.5,0.0,100.0,215,Released,Released,Pressed
1709346146,19.069124,78.355995,27,48,1774.9688,0.0,759.125,60780920,1970.95,19,130,129,17936.0,23.6,0.0,0.0,100.0,215,Released,Pressed,Released
